how far is it from my house to brasilia , brazil	[IN:GET_DISTANCE [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:DESTINATION ] ]
Events to attend in Seattle next week	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
what is the traffic like between Ft Riley and Manhattan	[IN:GET_INFO_TRAFFIC [SL:SOURCE ] [SL:DESTINATION ] ]
Give me a route to downtown Atlanta that will get me there before 6 pm .	[IN:GET_DIRECTIONS [SL:DESTINATION ] [SL:DATE_TIME_ARRIVAL ] ]
Whats going on in Pensacola Saturday Night	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
concerts this month	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
What is the estimated length of my drive to work	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
Any Christmas eve services	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] ]
list of errands for saturday	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
How many miles is in between Las Vegas and Los Angeles	[IN:GET_DISTANCE [SL:UNIT_DISTANCE ] [SL:SOURCE ] [SL:DESTINATION ] ]
what road construction is around me	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] ] ] ]
how bad is the traffic in albany	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
is traffic bad on 29 North right now	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] [SL:DATE_TIME ] ]
traffic in Shepherdstown , wv	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
you think there is traffic going to the beach now	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:DATE_TIME ] ]
Concerts in Madison Square Garden this week	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME ] ]
How long will it take me to reach the airport in current traffic conditions ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
Is there any crashes near me	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] ] ] ]
Riverfront events this weekend	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:DATE_TIME ] ]
what are the current events in washington DC	[IN:GET_EVENT [SL:LOCATION ] ]
How bad is traffic in New York City	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
HOW LONG WILL IT TAKE ME TO GET TO LAS VEGAS	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION ] ]
Can you let me know if there are any Art Gallery openings with in a 20 mile radius of downtown Columbus next week	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION ] ] ] [SL:DATE_TIME ] ]
is traffic heavy or light on my route to work	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
Any wine and food events in Napa this weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
What should I do in Denver next weekend	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
are there any Christmas crafting events close by for Saturday	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER ] ] ] [SL:DATE_TIME ] ]
Musical concerts going on in New York City next weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
What is there to do in Green Bay on Saturday night	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
When is trunk or treat	[IN:GET_EVENT [SL:CATEGORY_EVENT ] ]
Any large Christmas light displays this weekend	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
Is the traffic heavy today from San Antonio to Houston	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] [SL:SOURCE ] [SL:DESTINATION ] ]
How long is my drive to mom 's	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:TYPE_RELATION ] ] ] ]
What events are today	[IN:GET_EVENT [SL:DATE_TIME ] ]
What does my route to work look like this morning	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] [SL:DATE_TIME ] ]
using i - 20 , what 's the travel time between meridian and tuscaloosa , al	[IN:GET_ESTIMATED_DURATION [SL:PATH ] [SL:SOURCE ] [SL:DESTINATION ] ]
When is E3	[IN:GET_EVENT [SL:CATEGORY_EVENT ] ]
Are there any free art events next week	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT ] [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
Is there much traffic on my route home	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
what concerts are going to be happening in Orlando florida during the months of April and May	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
traffic delays on my route	[IN:GET_INFO_TRAFFIC ]
Will Linkin Park be holding a concert near Portland this year	[IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION ] ] ] [SL:DATE_TIME ] ]
What time should I leave to get to the airport by 5 pm	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:DATE_TIME_ARRIVAL ] ]
santa events in henderson this weekend	[IN:GET_EVENT [SL:NAME_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
What time should i leave to reach Cairo by 7 : 00 pm ?	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION ] [SL:DATE_TIME_ARRIVAL ] ]
What time should my dad leave his house to arrive at my house ?	[IN:GET_ESTIMATED_DEPARTURE [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT_RELATED ] [SL:TYPE_RELATION ] ] ] [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] ]
what is the traffic like on 75 north in atlanta today	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION ] [SL:LOCATION_MODIFIER ] ] ] [SL:DATE_TIME ] ]
is traffic bad on the 40 E	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
are there slowdowns along my route	[IN:GET_INFO_TRAFFIC ]
Any parties happening tonight in Williamsburg	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] [SL:LOCATION ] ]
Find fast route with less traffic	[IN:UPDATE_DIRECTIONS [SL:OBSTRUCTION_AVOID ] ]
Improv shows in Newark next week	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
How slow is traffic today on I75	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] [SL:LOCATION ] ]
what 's traffic like in denham springs	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
anything to do in nyc on sunday	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
Can I get to Israa 's office in less than an hour ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_WORK [SL:CONTACT ] ] ] [SL:DATE_TIME_ARRIVAL ] ]
What time will I make it to Santa Fe coming from route 72 ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION ] [SL:SOURCE ] ]
Anything cool going on in Woodstock this month	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
WHAT TIME DOES THE BAND START SATURDAY NIGHT	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
How long will it take to get to Pittsburgh from home	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION ] [SL:SOURCE [IN:GET_LOCATION_HOME ] ] ]
How many miles is it to Mexico from here	[IN:GET_DISTANCE [SL:UNIT_DISTANCE ] [SL:DESTINATION ] [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] ]
Concerts at Darien Lake within the next 6 months	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME ] ]
anything fun to do tonight involving alcohol in panama city beach	[IN:GET_EVENT [SL:DATE_TIME ] [SL:ATTRIBUTE_EVENT ] [SL:LOCATION ] ]
How long will it take me to get from here to Adventure Landing today without construction ?	[IN:GET_ESTIMATED_DURATION [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME_DEPARTURE ] [SL:OBSTRUCTION_AVOID ] ]
What country concerts are in the area this month	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION_HOME ] ] [SL:DATE_TIME ] ]
Can you tell me how long it will take me to drive home	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
What is the distance between Vista and La Jolla in meters	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] [SL:UNIT_DISTANCE ] ]
Sporting events in Atlanta today	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
Is there traffic on Main Street	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
Mileage , by flight , between Alabama and Georgia	[IN:GET_DISTANCE [SL:UNIT_DISTANCE ] [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
what is causing this traffic on 45	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
Is traffic backed up on the Brent Spence bridge	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
How long is my drive to Merced going to take	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION ] ]
How heavy is the traffic near exit 52 on route 90	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION ] [SL:LOCATION_MODIFIER ] ] ] ]
Things to do around Lake Havasu on Christmas eve	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION ] ] ] [SL:DATE_TIME ] ]
how bad is traffic on i - 75	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
Heaviest traffic area for Charlotte	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
How long will it take to drive home when I get off work at 5 : 00 pm ?	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:SOURCE [IN:GET_LOCATION_WORK ] ] [SL:DATE_TIME_DEPARTURE ] ]
Is there any events near me tomorrow	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] [SL:DATE_TIME ] ]
when and where is the monster truck rally this spring	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
How long will it take to get from the Houston Marriott to the airport if I don't take highways ?	[IN:GET_ESTIMATED_DURATION [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:PATH_AVOID [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
Is The Nutcracker at McCarter Theater this weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME ] ]
Music events near Elmwood Avenue	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION ] ] ] ]
Happy hour deals tonight	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
Condo events in Miami	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
Is there a longer route	[IN:UPDATE_DIRECTIONS ]
what is there to do today please	[IN:GET_EVENT [SL:DATE_TIME ] ]
Tell me what is going on in Tampa next month	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
i need tasty food events to go to in atlanta	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
What time should I leave to make it to the Liverpool game today ?	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION [IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ] ] ]
What is the traffic pattern on Main street	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
what is the Halloween party this weekend	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
How traffic looking	[IN:GET_INFO_TRAFFIC ]
miles from new york to philly	[IN:GET_DISTANCE [SL:UNIT_DISTANCE ] [SL:SOURCE ] [SL:DESTINATION ] ]
Live concerts this weekend at the Ridgefield Ilani casino	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
are there any costume parties going on near me	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] ]
Disney Holiday Events	[IN:GET_EVENT [SL:NAME_EVENT ] [SL:DATE_TIME ] ]
what concerts are coming up	[IN:GET_EVENT [SL:CATEGORY_EVENT ] ]
What 's happening in Philadelphia tonight	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
find the nearest rest stop	[IN:GET_LOCATION [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER ] [SL:CATEGORY_LOCATION ] ] ] ]
Live music near downtown in family setting	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION ] ] ] [SL:ATTRIBUTE_EVENT ] ]
distance between Maryland and seattle	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
Is Washington Ave . plowed ?	[IN:GET_INFO_ROAD_CONDITION [SL:LOCATION ] [SL:ROAD_CONDITION ] ]
how far is Atlanta from Savannah	[IN:GET_DISTANCE [SL:DESTINATION ] [SL:SOURCE ] ]
What night is this year 's annual Christmas parade	[IN:GET_EVENT [SL:DATE_TIME ] [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] ]
Will traffic be heavier in an hour	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
How long will it take me to get to Bowling Green from here ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION ] [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] ]
what is the traffic driving from Hammond to Baton Rouge	[IN:GET_INFO_TRAFFIC [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
Art shows near me this weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] [SL:DATE_TIME ] ]
I need help getting to the San Francisco Symphony by 6 pm	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_EVENT [SL:NAME_EVENT ] ] ] [SL:DATE_TIME_ARRIVAL ] ]
Please give me a route from my place to Ohio State University that has no road work	[IN:GET_DIRECTIONS [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:OBSTRUCTION_AVOID ] ]
How long will it take me to travel from Rochester to Buffalo this morning	[IN:GET_ESTIMATED_DURATION [SL:SOURCE ] [SL:DESTINATION ] [SL:DATE_TIME ] ]
Pagan potluck in hardy	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
Mormon Tabernacle Choir Concert in Utah	[IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
How many days is Ozzfest	[IN:GET_EVENT [SL:CATEGORY_EVENT ] ]
traffic update please	[IN:GET_INFO_TRAFFIC ]
Is there alot of construction along the way	[IN:GET_INFO_TRAFFIC ]
Will traffic make me late for work at 5p	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] [SL:DATE_TIME_ARRIVAL ] ]
any exciting events happening in sacramento tomorrow	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
How is traffic congestion on 72nd and Dodge in Omaha	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION ] [SL:LOCATION ] [SL:LOCATION_MODIFIER ] ] ] ]
I have to pick someone up at the airport during rush hour , what time should I leave home in order to meet a 6PM flight ?	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:SOURCE [IN:GET_LOCATION_HOME ] ] [SL:DATE_TIME_ARRIVAL ] ]
jazz concerts close to me this weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] [SL:DATE_TIME ] ]
How heavy is the traffic right now on the way home	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
When is the next time Phil Collins will be in San Francisco	[IN:GET_EVENT [SL:ORDINAL ] [SL:NAME_EVENT ] [SL:LOCATION ] ]
Is traffic heavy right now in Los Angeles	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] [SL:LOCATION ] ]
show me traffic on my way please	[IN:GET_INFO_TRAFFIC ]
traffic heavy in DC now	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] [SL:DATE_TIME ] ]
Is anything going on in the French Quarter next weekend	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
Any accidents reported on the local streets	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER ] [SL:CATEGORY_LOCATION ] ] ] ]
how is traffic to cross the Canadian border in NY	[IN:GET_INFO_TRAFFIC [SL:WAYPOINT [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] [SL:LOCATION_MODIFIER ] ] ] ]
What events are happening this weekend for children to participate in	[IN:GET_EVENT [SL:DATE_TIME ] [SL:ATTRIBUTE_EVENT ] ]
WHAT IS THE TRAFFIC ON 192 RIGHT NOW	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] [SL:DATE_TIME ] ]
Tell me when we are supposed to arrive at our destination .	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION ] ]
Any events in our neighborhood with food and music	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:CATEGORY_EVENT ] ]
Event openings this week	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
is this highway going to clear up soon	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] ]
how far is album park from my new job ?	[IN:GET_DISTANCE [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:SOURCE [IN:GET_LOCATION_WORK [SL:CONTACT ] ] ] ]
is there traffic in the city now	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION ] ] ] [SL:DATE_TIME ] ]
is the rain holding up traffic	[IN:GET_INFO_TRAFFIC [SL:ROAD_CONDITION ] ]
How long is my drive to Reno , Nevada	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION ] ]
Film events in New York this weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
Who all is playing in Thackerville	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
Any book clubs in the area	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION_HOME ] ] ]
is there traffic in Sugar Grove	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
Give me some places that have dance classes for adults	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:ATTRIBUTE_EVENT ] ]
how is the traffic now	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
whats going on tonight	[IN:GET_EVENT [SL:DATE_TIME ] ]
Katy Perry concert in New York	[IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
are there any Andre Rieu concerts coming to the Broward Center next year	[IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME ] ]
Are there any shortcuts around this traffic that would get me home quicker	[IN:UPDATE_DIRECTIONS [SL:OBSTRUCTION_AVOID ] [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
Events at Fun town for the next two weeks	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME ] ]
What time should I leave to make it to the Charger 's game by 2 pm ?	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION [IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] ] ] [SL:DATE_TIME_ARRIVAL ] ]
Are the roads to hesham 's house clear tonight ?	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] [SL:DATE_TIME ] ]
Is there any traffic heading to Providence	[IN:GET_INFO_TRAFFIC [SL:DESTINATION ] ]
Things to do near me this week	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] [SL:DATE_TIME ] ]
How long will it take me to get to Keizer if I leave now ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] [SL:DATE_TIME_DEPARTURE ] ]
Concerts by tool	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:NAME_EVENT ] ]
What is the traffic like for my drive home	[IN:GET_INFO_TRAFFIC [SL:METHOD_TRAVEL ] [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
Soccer games going on	[IN:GET_EVENT [SL:CATEGORY_EVENT ] ]
Is the traffic going to slow me down tonight	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME ] ]
Restaurant openings in hallandale in October	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
When is the Holiday light parade in Denver	[IN:GET_EVENT [SL:DATE_TIME ] [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
Concerts to see Pink	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:NAME_EVENT ] ]
If I leave here in 5 minutes when will I get to Mak Fitness Center ?	[IN:GET_ESTIMATED_ARRIVAL [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER ] ] ] [SL:DATE_TIME_DEPARTURE ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP ] ] ] ]
Are there any family attractions I can go to this weekend	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT ] [SL:DATE_TIME ] ]
how far is Chicago from Tampa , FL	[IN:GET_DISTANCE [SL:DESTINATION ] [SL:SOURCE ] ]
Are the local roads icy ?	[IN:GET_INFO_ROAD_CONDITION [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER ] ] ] [SL:ROAD_CONDITION ] ]
how long is the drive to SF on the PCH	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL ] [SL:DESTINATION ] [SL:PATH ] ]
how long until i get to daisys	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] ]
Can you help me get back home from Lauren 's house please ?	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT ] ] ] ]
How fast is traffic moving on I - 90	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
cinema schedule in macomb for the next week	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:LOCATION ] [SL:DATE_TIME ] ]
When is John Legend playing in New York	[IN:GET_EVENT [SL:NAME_EVENT ] [SL:CATEGORY_EVENT ] [SL:LOCATION ] ]
Los Angeles concerts on June 5th	[IN:GET_EVENT [SL:LOCATION ] [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
What is the current traffic on the Mass Pike	[IN:GET_INFO_TRAFFIC [SL:LOCATION ] ]
what is the traffic driving from buffalo to amherst	[IN:GET_INFO_TRAFFIC [SL:METHOD_TRAVEL ] [SL:SOURCE ] [SL:DESTINATION ] ]
What 's the traffic near me	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER [IN:GET_LOCATION [SL:SEARCH_RADIUS ] [SL:LOCATION_USER ] ] ] ] ] ]
Music events before the year end that are worth going to	[IN:GET_EVENT [SL:CATEGORY_EVENT ] [SL:DATE_TIME ] ]
What is the distance from Florida to Honduras	[IN:GET_DISTANCE [SL:SOURCE ] [SL:DESTINATION ] ]
anything fun happening today	[IN:GET_EVENT [SL:DATE_TIME ] ]
Is there a way to only take an hour to get to Las Vegas	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION ] ]
What time do they close off Duval St in Key West for the Masquerade March ?	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION ] [SL:LOCATION_MODIFIER ] ] ] [SL:CATEGORY_EVENT ] ] ] ]
What 's traffic like for work	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
Which is the best route to take home nearby me	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
Any events in Tempe tonight	[IN:GET_EVENT [SL:LOCATION ] [SL:DATE_TIME ] ]
When will I get to work , if I leave now	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] [SL:DATE_TIME_DEPARTURE ] ]
Any kid friendly events in the next week	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT ] [SL:DATE_TIME ] ]
