How long will it take to drive from Chicago to Mississippi	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 6 7 ] [SL:SOURCE 8 9 ] [SL:DESTINATION 10 11 ] ]
what 's happening saturday in houston	[IN:GET_EVENT [SL:DATE_TIME 3 4 ] [SL:LOCATION 5 6 ] ]
Any hot parties for Christmas Eve	[IN:GET_EVENT [SL:CATEGORY_EVENT 2 3 ] [SL:DATE_TIME 3 6 ] ]
Is the accident cleared on 169	[IN:GET_INFO_TRAFFIC [SL:LOCATION 5 6 ] ]
How much time it take to reach Cairo by bus in this morning ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION 7 8 ] [SL:METHOD_TRAVEL 9 10 ] [SL:DATE_TIME 10 13 ] ]
how is the traffic in Henrietta	[IN:GET_INFO_TRAFFIC [SL:LOCATION 5 6 ] ]
Will I caught up in flooded road on my way to campus ?	[IN:GET_INFO_ROAD_CONDITION [SL:ROAD_CONDITION 5 6 ] [SL:DESTINATION [IN:GET_LOCATION_SCHOOL ] ] ]
can i make it to the buck game before tipoff if i leave now	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_EVENT [SL:NAME_EVENT 6 7 ] [SL:CATEGORY_EVENT 7 8 ] ] ] [SL:DATE_TIME_DEPARTURE 13 14 ] ]
What time should I leave tonight to get to the rock concert by 8 pm	[IN:GET_ESTIMATED_DEPARTURE [SL:DATE_TIME_DEPARTURE 5 6 ] [SL:DESTINATION [IN:GET_EVENT [SL:CATEGORY_EVENT 9 12 ] ] ] [SL:DATE_TIME_ARRIVAL 12 15 ] ]
how long is a flight from Miami to Paris	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 4 5 ] [SL:SOURCE 6 7 ] [SL:DESTINATION 8 9 ] ]
How many work zones are there along this route	[IN:GET_INFO_TRAFFIC ]
how far is it to Washington , DC	[IN:GET_DISTANCE [SL:DESTINATION 5 8 ] ]
family friendly events in santa clarita	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT 0 2 ] [SL:LOCATION 4 6 ] ]
shortest way to the store	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 3 5 ] ] ] ]
Please let me know how the traffic will be driving from Daphne , AL to Gulf Shores , AL today	[IN:GET_INFO_TRAFFIC [SL:METHOD_TRAVEL 9 10 ] [SL:SOURCE 11 14 ] [SL:DESTINATION 15 19 ] [SL:DATE_TIME 19 20 ] ]
How would it take me to drive from Mt . hood to Washington State ?	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 6 7 ] [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP 8 11 ] ] ] [SL:DESTINATION 12 14 ] ]
traffic for downtown Chicago please	[IN:GET_INFO_TRAFFIC [SL:LOCATION 2 4 ] ]
What 's the traffic like going to Duluth	[IN:GET_INFO_TRAFFIC [SL:DESTINATION 7 8 ] ]
Please tell me how to get to the New Mexico State Fair grounds by taking Lomas	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 7 13 ] ] ] [SL:PATH 15 16 ] ]
Can I be home by 5 pm if I leave now ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:DATE_TIME_ARRIVAL 4 7 ] [SL:DATE_TIME_DEPARTURE 10 11 ] ]
What time should i leave work to arrive at kent stage by 7	[IN:GET_ESTIMATED_DEPARTURE [SL:SOURCE [IN:GET_LOCATION_WORK ] ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 9 11 ] ] ] [SL:DATE_TIME_ARRIVAL 11 13 ] ]
How is the traffic from Los Angeles to Irvine	[IN:GET_INFO_TRAFFIC [SL:SOURCE 5 7 ] [SL:DESTINATION 8 9 ] ]
can i make my daughters soccer game at 5 pm if i leave right now	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_EVENT [SL:ATTENDEE_EVENT [IN:GET_CONTACT [SL:CONTACT_RELATED 3 4 ] [SL:TYPE_RELATION 4 5 ] ] ] [SL:CATEGORY_EVENT 5 7 ] [SL:DATE_TIME 7 10 ] ] ] [SL:DATE_TIME_DEPARTURE 13 15 ] ]
How long is the drive to the theatre	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 4 5 ] [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 6 8 ] ] ] ]
HOW MANY MILES FROM PHILADELPHIA TO THE POCONOS	[IN:GET_DISTANCE [SL:UNIT_DISTANCE 2 3 ] [SL:SOURCE 4 5 ] [SL:DESTINATION 6 8 ] ]
Will there be any traffic holdups that you know of	[IN:GET_INFO_TRAFFIC ]
how long will it take to drive to alpharetta	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 6 7 ] [SL:DESTINATION 8 9 ] ]
How much further is this bumper to bumper traffic on I - 75	[IN:GET_INFO_TRAFFIC [SL:LOCATION 10 13 ] ]
Which is the fastest route to work	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
Is Route 55 still backed up	[IN:GET_INFO_TRAFFIC [SL:LOCATION 1 3 ] ]
Who is in concert at the Hard Rock this month	[IN:GET_EVENT [SL:CATEGORY_EVENT 3 4 ] [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP 5 8 ] ] ] [SL:DATE_TIME 8 10 ] ]
what is the traffic like on my way to work	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
What 's the distance between lake Stevens and Seattle	[IN:GET_DISTANCE [SL:SOURCE 5 7 ] [SL:DESTINATION 8 9 ] ]
Tupperware parties happening	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 2 ] ]
Are the roads clear between my house and Lisa 's ?	[IN:GET_INFO_TRAFFIC [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT 5 6 ] ] ] [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT 8 9 ] ] ] ]
Music events in Sioux falls next weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 2 ] [SL:LOCATION 3 5 ] [SL:DATE_TIME 5 7 ] ]
things to do in nyc this weekend	[IN:GET_EVENT [SL:LOCATION 4 5 ] [SL:DATE_TIME 5 7 ] ]
Anything happening now	[IN:GET_EVENT [SL:DATE_TIME 2 3 ] ]
any concerts in orange county going on today	[IN:GET_EVENT [SL:CATEGORY_EVENT 1 2 ] [SL:LOCATION 3 5 ] [SL:DATE_TIME 7 8 ] ]
How much time should I allot to get to my dentist appointment at 3 : 30 tomorrow ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_EVENT [SL:ATTENDEE_EVENT 9 10 ] [SL:CATEGORY_EVENT 10 12 ] [SL:DATE_TIME 12 17 ] ] ] ]
any fun stuff to do in grafton tonight	[IN:GET_EVENT [SL:LOCATION 6 7 ] [SL:DATE_TIME 7 8 ] ]
Get the time to Alexandria using Desert Road	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION 4 5 ] [SL:PATH 6 8 ] ]
How far is it to the new hospital on 48th Ave S . from home ?	[IN:GET_DISTANCE [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 5 8 ] [SL:LOCATION_MODIFIER 9 13 ] ] ] [SL:SOURCE [IN:GET_LOCATION_HOME ] ] ]
How long will it take to drive to Atlanta from Miami	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 6 7 ] [SL:DESTINATION 8 9 ] [SL:SOURCE 10 11 ] ]
How long will it take me to drive from my current location to my shop in Ann Arbor	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 7 8 ] [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER 9 12 ] ] ] [SL:DESTINATION [IN:GET_LOCATION_WORK [SL:CONTACT 13 14 ] [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER 16 18 ] ] ] ] ] ]
How long would it take me to drive to Adam 's house if I left work at 4 to go there ?	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 7 8 ] [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT 9 10 ] ] ] [SL:SOURCE [IN:GET_LOCATION_WORK ] ] [SL:DATE_TIME_DEPARTURE 16 18 ] ]
Take me home please	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
Duval county holiday events	[IN:GET_EVENT [SL:LOCATION 0 2 ] [SL:CATEGORY_EVENT 2 4 ] ]
How many miles is it to Plano	[IN:GET_DISTANCE [SL:UNIT_DISTANCE 2 3 ] [SL:DESTINATION 6 7 ] ]
Things to do in Iceland in July	[IN:GET_EVENT [SL:LOCATION 4 5 ] [SL:DATE_TIME 5 7 ] ]
I'm late - find me the fastest route to get to school , if I leave right now	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION_SCHOOL ] ] [SL:DATE_TIME_DEPARTURE 16 18 ] ]
Is there any traffic on my commute	[IN:GET_INFO_TRAFFIC [SL:PATH 5 7 ] ]
can i make it by 16 : 00 ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DATE_TIME_ARRIVAL 4 8 ] ]
Famlily ice skating this weekend	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT 0 1 ] [SL:CATEGORY_EVENT 1 3 ] [SL:DATE_TIME 3 5 ] ]
concerts in Gatlinburg	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 1 ] [SL:LOCATION 2 3 ] ]
Hanson concerts coming up this month	[IN:GET_EVENT [SL:NAME_EVENT 0 1 ] [SL:CATEGORY_EVENT 1 2 ] [SL:DATE_TIME 4 6 ] ]
How far is it from Houston to New Orleans	[IN:GET_DISTANCE [SL:SOURCE 5 6 ] [SL:DESTINATION 7 9 ] ]
What time does the Hank Aaron Christmas light show start on Friday night	[IN:GET_EVENT [SL:NAME_EVENT 4 6 ] [SL:DATE_TIME 6 7 ] [SL:CATEGORY_EVENT 7 9 ] [SL:DATE_TIME 10 13 ] ]
What is my best route home to avoid traffic	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:OBSTRUCTION_AVOID 8 9 ] ]
Things to see on Oahu on Christmas Day	[IN:GET_EVENT [SL:LOCATION 4 5 ] [SL:DATE_TIME 5 8 ] ]
which is the fastest way to school avoid accident blockage	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION_SCHOOL ] ] [SL:OBSTRUCTION_AVOID 8 10 ] ]
Any Christmas events in South Florida	[IN:GET_EVENT [SL:DATE_TIME 1 2 ] [SL:LOCATION 4 6 ] ]
Concerts in brookings	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 1 ] [SL:LOCATION 2 3 ] ]
What are some events happening in San Francisco over this weekend	[IN:GET_EVENT [SL:LOCATION 6 8 ] [SL:DATE_TIME 8 11 ] ]
See if you can find Beauty & the Beast play for kids near home	[IN:GET_EVENT [SL:CATEGORY_EVENT 5 10 ] [SL:ATTRIBUTE_EVENT 11 12 ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 12 13 ] [SL:LOCATION [IN:GET_LOCATION_HOME ] ] ] ] ]
Can I get to the Canadian border by 7 pm if I leave now ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION 4 7 ] [SL:DATE_TIME_ARRIVAL 7 10 ] [SL:DATE_TIME_DEPARTURE 13 14 ] ]
Locate information on things to do in San Antonio this Friday for kids	[IN:GET_EVENT [SL:LOCATION 7 9 ] [SL:DATE_TIME 9 11 ] [SL:ATTRIBUTE_EVENT 12 13 ] ]
Fall Foliage Tours on Sunday in Pelham	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 3 ] [SL:DATE_TIME 3 5 ] [SL:LOCATION 6 7 ] ]
What route should I take to avoid the March for Science next month ?	[IN:GET_DIRECTIONS [SL:WAYPOINT_AVOID [IN:GET_EVENT [SL:CATEGORY_EVENT 7 11 ] [SL:DATE_TIME 11 13 ] ] ] ]
What 's the traffic update	[IN:GET_INFO_TRAFFIC ]
Should i be taking another alternative route due to traffic on US 41	[IN:GET_INFO_TRAFFIC [SL:LOCATION 11 13 ] ]
What 's the traffic in Sacramento	[IN:GET_INFO_TRAFFIC [SL:LOCATION 5 6 ] ]
Can I have an update on the traffic report	[IN:GET_INFO_TRAFFIC ]
how heavy is traffic right now on hwy 25 south	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 4 6 ] [SL:LOCATION 7 10 ] ]
Places to visit in San Francisco with a toddler in the evening	[IN:GET_EVENT [SL:LOCATION 4 6 ] [SL:ATTRIBUTE_EVENT 7 9 ] [SL:DATE_TIME 9 12 ] ]
What is the holiday schedule of events for SeaWorld in San Diego for next week	[IN:GET_EVENT [SL:DATE_TIME 3 4 ] [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP 8 9 ] [SL:LOCATION_MODIFIER 10 12 ] ] ] [SL:DATE_TIME 12 15 ] ]
find alternative route home	[IN:UPDATE_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
where is the closest art show in london	[IN:GET_EVENT [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER 3 4 ] ] ] [SL:CATEGORY_EVENT 4 6 ] [SL:LOCATION 7 8 ] ]
How long is the expected traffic delay on I65 right now	[IN:GET_INFO_TRAFFIC [SL:LOCATION 8 9 ] [SL:DATE_TIME 9 11 ] ]
What are some events happening in Texas next month	[IN:GET_EVENT [SL:LOCATION 6 7 ] [SL:DATE_TIME 7 9 ] ]
romantic getaway oahu December	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 2 ] [SL:LOCATION 2 3 ] [SL:DATE_TIME 3 4 ] ]
How long is traffic going to delay me	[IN:GET_ESTIMATED_DURATION ]
places to go after midnight	[IN:GET_EVENT [SL:DATE_TIME 3 5 ] ]
Whats the rush hour traffic on way home	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 2 4 ] [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
How long will it take me to get to Valparaiso if I take Route 30 this evening after 5 ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION 9 10 ] [SL:PATH 13 15 ] [SL:DATE_TIME_DEPARTURE 15 19 ] ]
greeting and meeting for senior citizen	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 3 ] [SL:ATTRIBUTE_EVENT 4 6 ] ]
What is traffic like between here and home	[IN:GET_INFO_TRAFFIC [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER 5 6 ] ] ] [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
will there be traffic near the concert hall tonight	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER [IN:GET_LOCATION [SL:SEARCH_RADIUS 4 5 ] [SL:CATEGORY_LOCATION 5 8 ] ] ] ] ] [SL:DATE_TIME 8 9 ] ]
Traffic in Michigan Ave from Wabash to Ohio Ave	[IN:GET_INFO_TRAFFIC [SL:PATH 2 4 ] [SL:SOURCE 5 6 ] [SL:DESTINATION 7 9 ] ]
What is the distance between NYC and Texas	[IN:GET_DISTANCE [SL:SOURCE 5 6 ] [SL:DESTINATION 7 8 ] ]
Will there be a lot of traffic on my way home from work	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] [SL:SOURCE [IN:GET_LOCATION_WORK ] ] ]
Where is Madinet Nasr Traffic administration ?	[IN:GET_LOCATION [SL:POINT_ON_MAP 2 6 ] ]
things to do on my free time	[IN:GET_EVENT ]
What is the average travel speed of a flight from JFK to LAX	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 8 9 ] [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP 10 11 ] ] ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 12 13 ] ] ] ]
how long will it take me to come to the warriors parade this morning	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_EVENT [SL:NAME_EVENT 10 11 ] [SL:CATEGORY_EVENT 11 12 ] [SL:DATE_TIME 12 14 ] ] ] ]
Kid friendly events happening near me	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT 0 2 ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 4 5 ] [SL:LOCATION_USER 5 6 ] ] ] ]
what does highway traffic look like right now	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 2 3 ] ] ] [SL:DATE_TIME 6 8 ] ]
Can I get to work in 15 minutes using route 81 ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] [SL:DATE_TIME_ARRIVAL 5 8 ] [SL:PATH 9 11 ] ]
What does the traffic look like right now	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 6 8 ] ]
are there any Christmas parties this week	[IN:GET_EVENT [SL:DATE_TIME 3 4 ] [SL:CATEGORY_EVENT 4 5 ] [SL:DATE_TIME 5 7 ] ]
what kid friendly activities are available in Columbus next weekend	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT 1 3 ] [SL:LOCATION 7 8 ] [SL:DATE_TIME 8 10 ] ]
What is the quickest way to get to Baylor Hospital	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 8 10 ] ] ] ]
is traffic backed up any where	[IN:GET_INFO_TRAFFIC ]
Is that accident cleared on Main Street yet	[IN:GET_INFO_TRAFFIC [SL:LOCATION 5 7 ] ]
How long will it take to drive from my home to the nearest beach	[IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 6 7 ] [SL:SOURCE [IN:GET_LOCATION_HOME [SL:CONTACT 8 9 ] ] ] [SL:DESTINATION [IN:GET_LOCATION [SL:LOCATION_MODIFIER 12 13 ] [SL:CATEGORY_LOCATION 13 14 ] ] ] ]
Driving directions to the mall .	[IN:GET_DIRECTIONS [SL:METHOD_TRAVEL 0 1 ] [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 3 5 ] ] ] ]
how long will it take me to get to the movie theatre if i leave in 5 min ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 9 12 ] ] ] [SL:DATE_TIME_DEPARTURE 15 18 ] ]
What bands are playing at Stubb 's this weekend	[IN:GET_EVENT [SL:CATEGORY_EVENT 1 2 ] [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP 5 7 ] ] ] [SL:DATE_TIME 7 9 ] ]
Kid Friendly events Sunday	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT 0 2 ] [SL:DATE_TIME 3 4 ] ]
what 's going on in Mt Dora tonight	[IN:GET_EVENT [SL:LOCATION 5 7 ] [SL:DATE_TIME 7 8 ] ]
when should i leave to miss traffic	[IN:GET_ESTIMATED_DEPARTURE [SL:OBSTRUCTION_AVOID 6 7 ] ]
How long will it take me to get to Bills house if I leave now ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT 9 10 ] ] ] [SL:DATE_TIME_DEPARTURE 14 15 ] ]
What is the traffic driving from Newark to New York	[IN:GET_INFO_TRAFFIC [SL:METHOD_TRAVEL 4 5 ] [SL:SOURCE 6 7 ] [SL:DESTINATION 8 10 ] ]
What is the traffic driving from Minneapolis to Hopkins at 1 pm	[IN:GET_INFO_TRAFFIC [SL:METHOD_TRAVEL 4 5 ] [SL:SOURCE 6 7 ] [SL:DESTINATION 8 9 ] [SL:DATE_TIME 9 12 ] ]
What should I do today	[IN:GET_EVENT [SL:DATE_TIME 4 5 ] ]
Are there any roads closed on my way to work	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] ]
traffic conditions now please	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 2 3 ] ]
What time do I need to leave home to get to Orlando , FL by 8 am tomorrow ?	[IN:GET_ESTIMATED_DEPARTURE [SL:SOURCE [IN:GET_LOCATION_HOME ] ] [SL:DESTINATION 11 14 ] [SL:DATE_TIME_ARRIVAL 14 18 ] ]
How far is it from Gulf Shores , Alabama to New Orleans	[IN:GET_DISTANCE [SL:SOURCE 5 9 ] [SL:DESTINATION 10 12 ] ]
Give me events	[IN:GET_EVENT ]
Christmas light shows in Phoenix for tonight	[IN:GET_EVENT [SL:DATE_TIME 0 1 ] [SL:CATEGORY_EVENT 1 3 ] [SL:LOCATION 4 5 ] [SL:DATE_TIME 5 7 ] ]
Portland concerts during December	[IN:GET_EVENT [SL:LOCATION 0 1 ] [SL:CATEGORY_EVENT 1 2 ] [SL:DATE_TIME 2 4 ] ]
Events today near me	[IN:GET_EVENT [SL:DATE_TIME 1 2 ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 2 3 ] [SL:LOCATION_USER 3 4 ] ] ] ]
How many miles is it from here to the Giant store	[IN:GET_DISTANCE [SL:UNIT_DISTANCE 2 3 ] [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER 6 7 ] ] ] [SL:DESTINATION [IN:GET_LOCATION [SL:POINT_ON_MAP 8 11 ] ] ] ]
What is the distance between Los Angeles and New York	[IN:GET_DISTANCE [SL:SOURCE 5 7 ] [SL:DESTINATION 8 10 ] ]
How are people driving right now headed towards Chandler	[IN:GET_DIRECTIONS [SL:METHOD_TRAVEL 3 4 ] [SL:DATE_TIME_DEPARTURE 4 6 ] [SL:DESTINATION 8 9 ] ]
take me to the highway	[IN:GET_DIRECTIONS [SL:DESTINATION [IN:GET_LOCATION [SL:CATEGORY_LOCATION 3 5 ] ] ] ]
What roads are closed	[IN:GET_INFO_TRAFFIC ]
Will I be able to get to Atlanta by noon if I leave at 2 am	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION 7 8 ] [SL:DATE_TIME_ARRIVAL 8 10 ] [SL:DATE_TIME_DEPARTURE 13 16 ] ]
Things to do in Atlanta next Friday Evening	[IN:GET_EVENT [SL:LOCATION 4 5 ] [SL:DATE_TIME 5 8 ] ]
Is it work taking the Richards Parkway Express if I drive today	[IN:GET_DIRECTIONS [SL:PATH 4 8 ] [SL:METHOD_TRAVEL 10 11 ] [SL:DATE_TIME_DEPARTURE 11 12 ] ]
Is it traffic on the Strip	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:POINT_ON_MAP 4 6 ] ] ] ]
painting parties	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 2 ] ]
How heavy is the traffic expected to be for the holiday	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 9 11 ] ]
Concerts by Jagged Edge	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 1 ] [SL:NAME_EVENT 2 4 ] ]
Music events near me within the next 48 hours	[IN:GET_EVENT [SL:CATEGORY_EVENT 0 2 ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 2 3 ] [SL:LOCATION_USER 3 4 ] ] ] [SL:DATE_TIME 4 9 ] ]
Are there any musical events happening in NYC in May 2018	[IN:GET_EVENT [SL:CATEGORY_EVENT 3 5 ] [SL:LOCATION 7 8 ] [SL:DATE_TIME 8 11 ] ]
How long will it take to get from Ft Smith to Oklahoma City in the current traffic	[IN:GET_ESTIMATED_DURATION [SL:SOURCE 8 10 ] [SL:DESTINATION 11 13 ] ]
what will traffic be like in 2 hours	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 5 8 ] ]
what 's the destination time to grandma if i leave now	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:TYPE_RELATION 6 7 ] ] ] [SL:DATE_TIME_DEPARTURE 10 11 ] ]
Are there any fun things to do this week	[IN:GET_EVENT [SL:DATE_TIME 7 9 ] ]
How long is it from JBLM to Seattle	[IN:GET_ESTIMATED_DURATION [SL:SOURCE [IN:GET_LOCATION [SL:POINT_ON_MAP 5 6 ] ] ] [SL:DESTINATION 7 8 ] ]
are there any traffic accidents	[IN:GET_INFO_TRAFFIC ]
How long do you think it will take me to get to Albuquerque	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION 12 13 ] ]
Is traffic heavy in LA right now	[IN:GET_INFO_TRAFFIC [SL:LOCATION 4 5 ] [SL:DATE_TIME 5 7 ] ]
What music events will be on at South Lake Tahoe next Monday evening	[IN:GET_EVENT [SL:CATEGORY_EVENT 1 3 ] [SL:LOCATION 7 10 ] [SL:DATE_TIME 10 13 ] ]
is traffic heavy in DC now	[IN:GET_INFO_TRAFFIC [SL:LOCATION 4 5 ] [SL:DATE_TIME 5 6 ] ]
how light is the traffic situation today around the metroplex	[IN:GET_INFO_TRAFFIC [SL:DATE_TIME 6 7 ] [SL:LOCATION [IN:GET_LOCATION [SL:SEARCH_RADIUS 7 8 ] [SL:CATEGORY_LOCATION 8 10 ] ] ] ]
Anything to do tomorrow in Orlando	[IN:GET_EVENT [SL:DATE_TIME 3 4 ] [SL:LOCATION 5 6 ] ]
What 's the distance between Auburn and Birmingham	[IN:GET_DISTANCE [SL:SOURCE 5 6 ] [SL:DESTINATION 7 8 ] ]
Are there any construction zones on route 90 between Erie Pa and Toledo Ohio ? How long will it take me to drive that route ?	[IN:COMBINE [SL:COMBINE [IN:GET_INFO_TRAFFIC [SL:OBSTRUCTION 3 5 ] [SL:PATH 6 8 ] [SL:SOURCE 9 11 ] [SL:DESTINATION 12 14 ] ] ] [SL:COMBINE [IN:GET_ESTIMATED_DURATION [SL:METHOD_TRAVEL 22 23 ] ] ] ]
What 's going on in Louisville Saturday night	[IN:GET_EVENT [SL:LOCATION 5 6 ] [SL:DATE_TIME 6 8 ] ]
is there any traffic from here to my house	[IN:GET_INFO_TRAFFIC [SL:SOURCE [IN:GET_LOCATION [SL:LOCATION_USER 5 6 ] ] ] [SL:DESTINATION [IN:GET_LOCATION_HOME [SL:CONTACT 7 8 ] ] ] ]
what can i do tonight	[IN:GET_EVENT [SL:DATE_TIME 4 5 ] ]
Is Main St in Ann Arbor congested	[IN:GET_INFO_TRAFFIC [SL:LOCATION [IN:GET_LOCATION [SL:LOCATION 1 3 ] [SL:LOCATION_MODIFIER 4 6 ] ] ] ]
Tell me the miles to get to Columbus , OH .	[IN:GET_DISTANCE [SL:UNIT_DISTANCE 2 4 ] [SL:DESTINATION 7 10 ] ]
Baby friendly events this weekend	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT 0 2 ] [SL:DATE_TIME 3 5 ] ]
What is the fastest route to Laramie	[IN:GET_DIRECTIONS [SL:DESTINATION 6 7 ] ]
when should i leave for detroit for the least traffic	[IN:GET_ESTIMATED_DEPARTURE [SL:DESTINATION 5 6 ] [SL:OBSTRUCTION_AVOID 9 10 ] ]
What 's the duration of a trip to Scotch Plains assuming heavy traffic ?	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION 8 10 ] ]
Tell me the quickest route to get to Romeo leaving now and what is the best route	[IN:GET_DIRECTIONS [SL:DESTINATION 8 9 ] [SL:DATE_TIME_DEPARTURE 10 11 ] ]
Will I make it to work by 10 AM if I left right now ?	[IN:GET_ESTIMATED_ARRIVAL [SL:DESTINATION [IN:GET_LOCATION_WORK ] ] [SL:DATE_TIME_ARRIVAL 6 9 ] [SL:DATE_TIME_DEPARTURE 12 14 ] ]
Get the time to Amherst on local route .	[IN:GET_ESTIMATED_DURATION [SL:DESTINATION 4 5 ] ]
Can i expect at delay in traffic on my way home	[IN:GET_INFO_TRAFFIC [SL:DESTINATION [IN:GET_LOCATION_HOME ] ] ]
